电影名字,电影链接,评分,评分人数,导演,主演,年份,国家,类型,一句话评价
指环王3：王者无敌/TheLordoftheRings:TheReturnoftheKing/魔戒三部曲：王者再临(台/港),https://movie.douban.com/subject/1291552/,9.3,851214,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2003,美国新西兰,剧情动作奇幻冒险,史诗的终章。
我不是药神/中国药神/印度药神,https://movie.douban.com/subject/26752088/,9.0,2215861,导演: 文牧野 Muye Wen,主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情喜剧,对我们国家而言，这样的电影多一部是一部。
乱世佳人/GonewiththeWind/飘,https://movie.douban.com/subject/1300267/,9.3,733206,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,主演: 费...,1939,美国,剧情历史爱情战争,Tomorrow is another day.
飞屋环游记/Up/冲天救兵(港)/天外奇迹(台),https://movie.douban.com/subject/2129039/,9.1,1402130,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,主演: 爱德...,2009,美国,剧情喜剧动画冒险,最后那些最无聊的事情，才是最值得怀念的。
素媛/소원/许愿/希望：为爱重生(台),https://movie.douban.com/subject/21937452/,9.3,727951,导演: 李濬益 Jun-ik Lee,主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
哈尔的移动城堡/ハウルの動く城/哈尔移动城堡(港)/霍尔的移动城堡(台),https://movie.douban.com/subject/1308807/,9.1,1167229,导演: 宫崎骏 Hayao Miyazaki,主演: 倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,爱情动画奇幻冒险,带着心爱的人在天空飞翔。
十二怒汉/12AngryMen/12怒汉/十二怒汉,https://movie.douban.com/subject/1293182/,9.4,530740,导演: Sidney Lumet,主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情,1957年的理想主义。
让子弹飞/让子弹飞一会儿/火烧云,https://movie.douban.com/subject/3742360/,9.0,1797251,导演: 姜文 Wen Jiang,主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆中国香港,剧情喜剧动作西部,你给我翻译翻译，神马叫做TMD的惊喜。
何以为家/كفرناحوم/迦百农/星仔打官司(港),https://movie.douban.com/subject/30170448/,9.1,1101263,导演: 娜丁·拉巴基 Nadine Labaki,主演: 扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩美国法国塞浦路斯卡塔尔英国,剧情,凝视卑弱生命，用电影改变命运。
海蒂和爷爷/Heidi/飘零燕(港)/海蒂,https://movie.douban.com/subject/25958717/,9.3,688137,导演: 阿兰·葛斯彭纳 Alain Gsponer,主演: 阿努克·斯特芬 Anuk Steffen /...,2015,德国瑞士,剧情冒险家庭,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
猫鼠游戏/CatchMeIfYouCan/逍遥法外/捉智双雄(港),https://movie.douban.com/subject/1305487/,9.1,1108227,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 莱昂纳多·迪卡普里奥 L...,2002,美国加拿大,传记犯罪剧情,骗子大师和执著警探的你追我跑故事。
摔跤吧！爸爸/Dangal/我和我的冠军女儿(台)/打死不离3父女(港),https://movie.douban.com/subject/26387939/,9.0,1645968,导演: 涅提·蒂瓦里 Nitesh Tiwari,主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情传记运动家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
天空之城/天空の城ラピュタ/天空之城拉普他/空中城堡拉普他,https://movie.douban.com/subject/1291583/,9.2,940706,导演: 宫崎骏 Hayao Miyazaki,主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画奇幻冒险,对天空的追逐，永不停止。
鬼子来了/DevilsontheDoorstep,https://movie.douban.com/subject/1291858/,9.3,665317,导演: 姜文 Wen Jiang,主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情喜剧,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流/LifeofPi/少年Pi的奇幻漂流/漂流少年Pi,https://movie.douban.com/subject/1929463/,9.1,1412771,导演: 李安 Ang Lee,主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国中国台湾英国加拿大,剧情奇幻冒险,瑰丽壮观、无人能及的冒险之旅。
钢琴家/ThePianist/钢琴战曲(港)/战地琴人(台),https://movie.douban.com/subject/1296736/,9.3,690689,导演: 罗曼·波兰斯基 Roman Polanski,主演: 艾德里安·布洛迪 Adrien Brod...,2002,英国法国波兰德国美国,剧情传记战争音乐,音乐能化解仇恨。
指环王2：双塔奇兵/TheLordoftheRings:TheTwoTowers/魔戒二部曲：双城奇谋/指环王II：双塔,https://movie.douban.com/subject/1291572/,9.2,799856,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2002,美国新西兰,剧情动作奇幻冒险,承前启后的史诗篇章。
大话西游之月光宝盒/西遊記第壹佰零壹回之月光寶盒/西游记101回月光宝盒/齐天大圣东游记,https://movie.douban.com/subject/1299398/,9.0,1282300,导演: 刘镇伟 Jeffrey Lau,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港中国大陆,喜剧爱情奇幻古装,旷古烁今。
闻香识女人/ScentofaWoman/女人香/女人的芳香,https://movie.douban.com/subject/1298624/,9.1,947511,导演: 马丁·布莱斯 Martin Brest,主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,史上最美的探戈。
死亡诗社/DeadPoetsSociety/暴雨骄阳(港)/春风化雨(台),https://movie.douban.com/subject/1291548/,9.2,792395,导演: 彼得·威尔 Peter Weir,主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书/GreenBook/绿簿旅友(港)/幸福绿皮书(台),https://movie.douban.com/subject/27060077/,8.9,1755457,导演: 彼得·法雷里 Peter Farrelly,主演: 维果·莫腾森 Viggo Mortensen /...,2018,美国中国大陆,剧情喜剧传记音乐,去除成见，需要勇气。
大闹天宫/大闹天宫上下集/TheMonkeyKing,https://movie.douban.com/subject/1418019/,9.4,469853,导演: 万籁鸣 Laiming Wan,主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,2018,美国中国大陆,剧情喜剧传记音乐,经典之作，历久弥新。
罗马假日/RomanHoliday/金枝玉叶(港)/罗马假期(台),https://movie.douban.com/subject/1293839/,9.1,993463,导演: 威廉·惠勒 William Wyler,主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧剧情爱情,爱情哪怕只有一天。
黑客帝国/TheMatrix/22世纪杀人网络(港)/廿二世纪杀人网络(港),https://movie.douban.com/subject/1291843/,9.1,885623,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,主...,1999,美国,动作科幻,视觉革命。
指环王1：护戒使者/TheLordoftheRings:TheFellowshipoftheRing/指环王1：魔戒再现/指环王I：护戒使者,https://movie.douban.com/subject/1291571/,9.1,897530,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰美国,剧情动作奇幻冒险,传说的开始。
天堂电影院/NuovoCinemaParadiso/星光伴我心(港)/新天堂乐园(台),https://movie.douban.com/subject/1291828/,9.2,707317,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 菲利普·努瓦雷 Philipp...,1988,意大利法国,剧情爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
教父2/TheGodfather:PartII/教父续集(港)/教父II,https://movie.douban.com/subject/1299131/,9.3,590505,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 阿尔·帕西诺 A...,1974,美国,剧情犯罪,优雅的孤独。
狮子王/TheLionKing/狮子王3D,https://movie.douban.com/subject/1301753/,9.1,897499,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,主演: 乔纳森·泰勒·托马...,1994,美国,动画冒险歌舞,动物版《哈姆雷特》。
辩护人/변호인/逆权大状(港)/正义辩护人(台),https://movie.douban.com/subject/21937445/,9.2,622661,导演: 杨宇硕 Woo-seok Yang,主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情,电影的现实意义大过电影本身。
